Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas169           Pavarde169          7         10        7         10        9         6         10        3         1         2         3         4         2         1         6         3         
Vardas170           Pavarde170          2         7         0         5         7         0         4         0         6         6         2         6         5         2         0         8         
Vardas171           Pavarde171          9         7         1         10        3         9         4         5         8         10        10        6         0         4         5         2         
Vardas172           Pavarde172          7         6         6         7         2         10        5         7         9         6         7         0         9         10        9         9         
Vardas173           Pavarde173          1         7         2         6         2         2         3         4         8         8         6         7         0         8         9         6         
Vardas174           Pavarde174          0         1         6         0         6         10        8         10        0         5         2         9         0         8         1         6         
Vardas175           Pavarde175          3         7         3         4         3         4         10        3         3         10        2         0         2         4         0         0         
Vardas176           Pavarde176          4         1         3         1         2         6         9         2         9         1         5         10        8         7         1         7         
Vardas177           Pavarde177          1         5         5         3         2         10        3         0         1         9         5         4         3         7         5         2         
Vardas178           Pavarde178          0         1         4         2         9         7         5         3         2         4         5         1         1         3         6         7         
Vardas179           Pavarde179          8         0         8         4         7         7         1         4         6         1         6         5         1         1         3         5         
Vardas180           Pavarde180          7         10        6         5         6         8         2         3         3         1         5         1         4         3         3         1         
Vardas181           Pavarde181          2         7         9         9         3         7         4         7         4         5         4         9         8         3         4         5         
Vardas182           Pavarde182          7         5         3         3         6         1         7         0         5         10        4         7         9         4         10        2         
Vardas183           Pavarde183          5         5         9         3         2         3         10        1         8         1         5         9         10        5         1         6         
Vardas184           Pavarde184          6         9         9         10        5         4         0         9         10        3         9         8         1         0         2         10        
Vardas185           Pavarde185          1         2         3         1         6         8         6         4         3         6         5         9         3         6         2         2         
Vardas186           Pavarde186          8         0         4         9         8         7         5         2         7         5         2         2         9         0         4         2         
Vardas187           Pavarde187          4         9         7         9         7         1         0         4         10        9         1         9         7         7         2         5         
Vardas188           Pavarde188          7         5         1         4         8         6         1         8         1         6         7         7         1         8         6         1         
Vardas189           Pavarde189          7         9         0         7         8         3         9         8         0         5         7         5         2         9         2         0         
Vardas190           Pavarde190          9         1         4         0         3         3         6         9         3         2         4         1         8         4         10        5         
Vardas191           Pavarde191          8         0         9         1         3         6         9         7         1         10        4         0         8         4         0         3         
Vardas192           Pavarde192          1         10        2         3         9         2         0         5         7         0         2         9         2         7         6         0         
Vardas193           Pavarde193          0         8         0         8         10        9         6         10        1         4         1         1         3         0         7         9         
Vardas194           Pavarde194          10        0         0         8         7         6         3         1         3         4         4         5         8         4         5         7         
Vardas195           Pavarde195          6         8         1         1         4         9         3         5         1         10        5         9         7         9         1         4         
Vardas196           Pavarde196          10        9         4         10        3         6         3         7         9         8         2         10        7         5         3         1         
Vardas197           Pavarde197          0         0         7         8         6         2         1         9         5         2         4         4         3         6         4         3         
Vardas198           Pavarde198          0         9         9         6         4         9         10        0         1         10        1         1         6         1         7         1         
Vardas199           Pavarde199          2         6         3         6         9         2         1         1         7         4         7         10        5         9         7         6         
Vardas200           Pavarde200          0         8         5         5         3         8         3         1         6         2         9         2         5         3         4         2         
Vardas201           Pavarde201          7         7         5         7         6         9         3         9         6         0         5         3         0         6         8         2         
Vardas202           Pavarde202          9         6         5         8         1         6         5         0         3         9         0         1         5         5         10        1         
Vardas203           Pavarde203          6         9         4         8         3         7         5         2         9         9         7         3         2         9         6         3         
Vardas204           Pavarde204          0         9         10        9         4         5         9         2         5         2         6         3         6         4         1         9         
Vardas205           Pavarde205          5         5         4         0         9         10        9         7         9         5         5         5         5         5         3         8         
Vardas206           Pavarde206          1         3         5         2         9         2         5         5         8         7         3         10        10        7         5         0         
Vardas207           Pavarde207          8         6         1         3         2         0         7         1         6         10        1         9         3         4         3         0         
Vardas208           Pavarde208          8         4         1         1         2         4         6         9         7         10        0         1         4         6         1         5         
Vardas209           Pavarde209          4         7         10        6         5         10        3         1         1         9         6         1         0         7         5         9         
Vardas210           Pavarde210          3         4         9         0         8         3         1         6         7         6         3         1         10        10        6         7         
Vardas211           Pavarde211          4         3         8         9         7         4         5         0         1         3         4         5         8         0         9         0         
Vardas212           Pavarde212          2         7         0         4         4         5         6         6         9         1         9         4         1         4         4         8         
Vardas213           Pavarde213          6         8         2         5         0         3         7         7         10        7         10        10        10        8         2         3         
Vardas214           Pavarde214          4         0         1         9         3         1         2         1         1         8         3         1         6         8         4         8         
Vardas215           Pavarde215          3         0         6         4         1         9         5         7         4         6         5         2         3         1         0         1         
Vardas216           Pavarde216          2         10        0         0         6         9         6         0         3         4         2         0         7         8         0         3         
Vardas217           Pavarde217          10        5         0         3         7         3         2         0         7         4         7         10        7         9         6         10        
Vardas218           Pavarde218          4         4         2         10        6         0         8         0         1         10        9         6         1         10        10        2         
Vardas219           Pavarde219          6         6         7         1         5         0         2         6         10        2         8         3         1         1         8         6         
Vardas220           Pavarde220          7         3         9         2         4         9         5         4         9         8         3         10        3         10        3         7         
Vardas221           Pavarde221          10        3         6         1         7         9         10        6         6         6         4         6         2         9         8         4         
Vardas222           Pavarde222          8         6         1         4         5         1         9         5         5         1         5         8         7         3         1         0         
Vardas223           Pavarde223          10        7         7         0         9         1         2         5         9         0         0         9         2         4         1         2         
