Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas74            Pavarde74           2         10        8         9         5         1         10        2         9         10        1         10        0         7         4         5         
Vardas75            Pavarde75           0         9         3         2         8         9         6         3         2         3         10        5         0         10        0         0         
Vardas76            Pavarde76           2         9         2         6         9         9         3         1         7         7         2         8         6         2         2         8         
Vardas77            Pavarde77           4         5         3         7         0         7         10        7         0         10        7         5         10        1         7         9         
Vardas78            Pavarde78           7         3         3         2         8         0         7         7         4         10        1         4         3         9         6         10        
Vardas79            Pavarde79           5         3         8         5         8         0         8         10        5         10        8         2         10        10        9         9         
Vardas80            Pavarde80           1         7         7         8         0         1         6         0         2         8         2         3         8         5         5         7         
Vardas81            Pavarde81           7         10        0         7         7         2         5         7         3         10        7         8         1         4         7         4         
Vardas82            Pavarde82           3         2         2         2         7         10        3         6         9         10        1         1         2         5         5         4         
Vardas83            Pavarde83           10        1         4         8         10        4         8         1         0         10        8         9         6         5         3         4         
Vardas84            Pavarde84           2         0         9         4         10        2         2         8         3         4         7         0         9         4         2         5         
Vardas85            Pavarde85           6         8         1         2         3         9         7         7         1         7         10        10        3         8         2         7         
Vardas86            Pavarde86           0         8         7         5         0         3         1         4         1         3         5         4         9         9         0         6         
Vardas87            Pavarde87           0         2         1         5         5         9         6         10        2         10        0         10        2         4         7         1         
Vardas88            Pavarde88           3         9         5         2         8         0         5         6         10        2         4         3         0         9         7         5         
Vardas89            Pavarde89           5         9         9         0         9         4         6         3         9         4         3         10        7         7         0         0         
Vardas90            Pavarde90           3         4         9         4         6         8         0         1         0         5         7         0         4         5         10        7         
Vardas91            Pavarde91           1         1         7         3         4         7         3         10        7         6         7         10        10        0         3         3         
Vardas92            Pavarde92           9         6         6         4         1         10        4         7         5         0         9         10        6         7         5         4         
Vardas93            Pavarde93           3         4         6         6         0         2         10        3         7         1         7         8         10        1         10        8         
Vardas94            Pavarde94           10        4         5         8         3         5         5         0         7         5         10        9         3         0         4         3         
Vardas95            Pavarde95           2         10        3         8         3         4         7         8         1         10        1         10        2         1         3         10        
Vardas96            Pavarde96           0         1         7         3         10        4         10        7         3         8         1         7         4         4         8         10        
Vardas97            Pavarde97           6         9         0         0         6         7         4         2         5         2         8         9         1         0         5         1         
Vardas98            Pavarde98           8         8         3         0         10        1         6         0         9         8         4         0         5         1         9         1         
Vardas99            Pavarde99           8         4         7         1         8         10        7         6         8         10        5         1         1         6         2         6         
Vardas100           Pavarde100          2         0         6         3         3         6         0         10        9         0         8         4         3         5         9         9         
Vardas101           Pavarde101          3         7         3         0         10        6         8         3         9         6         1         6         1         0         2         5         
Vardas102           Pavarde102          8         2         5         8         0         2         6         4         1         0         6         10        2         7         3         8         
Vardas103           Pavarde103          5         4         10        3         4         5         2         6         1         9         9         0         4         5         5         3         
Vardas104           Pavarde104          2         6         5         4         7         0         4         3         3         2         8         0         10        10        4         9         
Vardas105           Pavarde105          10        0         1         7         8         10        10        2         5         9         4         8         4         4         5         9         
Vardas106           Pavarde106          4         0         4         1         7         8         9         2         0         4         7         8         1         4         7         5         
Vardas107           Pavarde107          5         3         2         10        7         9         4         2         9         2         4         4         0         10        4         3         
Vardas108           Pavarde108          1         8         1         10        0         4         1         2         2         0         1         1         10        8         6         0         
Vardas109           Pavarde109          4         8         4         8         0         7         9         2         2         2         0         8         10        8         8         6         
Vardas110           Pavarde110          7         10        7         4         1         1         2         3         8         0         9         2         6         3         8         9         
Vardas111           Pavarde111          8         7         0         8         9         9         2         1         1         4         5         5         2         6         6         4         
Vardas112           Pavarde112          0         3         8         3         1         6         10        4         1         6         4         0         7         3         2         2         
Vardas113           Pavarde113          7         1         8         8         5         8         5         2         1         4         3         9         7         6         4         0         
Vardas114           Pavarde114          7         7         6         4         6         1         8         7         7         3         3         8         5         9         5         6         
Vardas115           Pavarde115          7         3         8         7         8         5         4         6         4         3         0         4         4         0         7         3         
Vardas116           Pavarde116          1         9         2         9         4         10        5         7         6         2         1         2         7         8         2         3         
Vardas117           Pavarde117          10        8         1         4         10        9         7         0         1         0         9         5         8         8         7         10        
Vardas118           Pavarde118          0         0         5         3         5         3         5         4         0         8         9         1         8         4         7         4         
Vardas119           Pavarde119          0         10        3         4         7         7         1         9         10        10        9         4         0         3         3         1         
Vardas120           Pavarde120          0         0         6         3         7         6         2         9         10        9         4         1         7         0         8         1         
Vardas121           Pavarde121          4         2         5         8         1         9         2         4         6         7         1         5         8         6         8         1         
Vardas122           Pavarde122          3         0         6         1         4         5         0         9         4         9         3         8         8         6         7         1         
Vardas123           Pavarde123          2         8         6         5         10        8         8         4         3         1         10        3         0         5         5         6         
Vardas124           Pavarde124          7         10        4         2         0         10        4         10        4         7         3         1         1         8         4         8         
Vardas125           Pavarde125          1         3         7         4         2         7         8         9         6         1         10        5         7         5         6         5         
Vardas126           Pavarde126          1         6         10        8         10        8         0         8         2         6         5         0         3         3         3         2         
Vardas127           Pavarde127          4         3         10        0         0         7         4         10        10        7         0         6         6         6         4         9         
Vardas128           Pavarde128          2         9         8         7         9         1         3         3         9         10        3         4         1         8         3         0         
Vardas129           Pavarde129          9         1         6         0         2         6         10        9         6         7         7         1         10        10        7         2         
Vardas130           Pavarde130          6         10        4         0         5         3         9         0         10        1         3         0         0         1         0         9         
Vardas131           Pavarde131          6         1         4         0         2         4         3         3         6         2         1         9         4         9         0         6         
Vardas132           Pavarde132          1         9         5         9         4         6         3         0         2         8         4         0         4         2         1         8         
Vardas133           Pavarde133          7         3         7         10        6         5         10        6         5         7         6         5         2         10        1         2         
Vardas134           Pavarde134          4         9         2         6         2         0         8         5         3         6         5         9         3         1         5         9         
Vardas135           Pavarde135          9         3         3         7         2         8         2         10        4         6         0         7         5         1         0         5         
Vardas136           Pavarde136          0         0         9         5         5         0         3         1         9         10        8         9         6         0         4         8         
Vardas137           Pavarde137          4         9         0         2         6         4         5         7         1         5         2         2         1         7         2         7         
Vardas138           Pavarde138          6         5         0         9         3         10        6         5         2         0         4         4         7         10        6         7         
Vardas139           Pavarde139          6         10        0         4         1         7         8         2         10        7         9         0         9         2         2         0         
Vardas140           Pavarde140          0         3         8         7         2         3         10        0         1         1         0         2         6         3         5         0         
Vardas141           Pavarde141          6         5         7         10        2         3         3         6         10        1         5         0         3         6         1         10        
Vardas142           Pavarde142          4         6         4         10        2         10        7         3         6         6         7         2         4         2         7         7         
Vardas143           Pavarde143          4         10        5         8         10        8         4         4         10        4         4         2         8         2         0         3         
Vardas144           Pavarde144          5         6         3         1         4         7         9         10        6         10        5         5         6         4         10        0         
Vardas145           Pavarde145          1         7         2         5         0         9         6         4         0         7         5         3         7         0         7         10        
Vardas146           Pavarde146          3         8         9         10        8         8         2         0         5         4         5         4         9         1         1         2         
Vardas147           Pavarde147          4         7         5         4         6         10        2         1         10        8         0         1         9         5         6         4         
Vardas148           Pavarde148          4         5         5         3         3         10        1         6         8         9         7         6         3         1         6         0         
Vardas149           Pavarde149          6         3         8         10        8         6         2         3         0         10        5         0         8         0         3         2         
Vardas150           Pavarde150          10        8         7         9         0         3         2         0         10        3         8         7         9         10        8         4         
Vardas151           Pavarde151          2         4         1         2         3         7         2         4         8         3         7         2         8         4         0         5         
Vardas152           Pavarde152          6         10        6         3         5         4         1         5         1         1         7         6         4         3         6         8         
Vardas153           Pavarde153          10        5         4         4         7         8         10        9         1         4         10        10        5         5         1         6         
Vardas154           Pavarde154          8         6         9         1         4         9         3         6         0         9         9         7         3         2         9         10        
Vardas155           Pavarde155          1         2         5         6         8         9         9         4         5         3         8         9         10        6         8         2         
Vardas156           Pavarde156          7         8         7         5         3         8         9         4         9         7         0         2         3         10        0         4         
Vardas157           Pavarde157          6         9         7         1         5         9         7         10        7         6         10        10        5         9         2         4         
Vardas158           Pavarde158          2         10        7         6         1         1         9         1         2         9         9         7         1         7         4         9         
Vardas159           Pavarde159          2         0         1         3         3         6         5         4         2         1         2         6         0         0         4         6         
Vardas160           Pavarde160          5         3         5         5         2         4         7         6         9         6         9         8         4         9         2         9         
Vardas161           Pavarde161          5         0         8         5         0         10        1         7         3         3         2         1         4         2         6         6         
Vardas162           Pavarde162          7         7         9         6         6         9         2         10        7         6         6         0         2         0         10        9         
Vardas163           Pavarde163          10        3         9         5         4         4         1         7         8         6         7         2         8         2         4         10        
Vardas164           Pavarde164          7         2         10        2         7         2         9         10        10        9         10        0         8         3         3         9         
Vardas165           Pavarde165          9         0         3         0         7         4         6         3         10        8         0         1         2         5         4         4         
Vardas166           Pavarde166          1         0         1         1         7         3         5         3         8         0         3         2         7         6         10        5         
Vardas167           Pavarde167          4         6         5         6         2         5         8         5         2         9         7         8         4         10        10        10        
Vardas168           Pavarde168          10        1         9         5         5         3         10        5         10        6         7         4         6         9         0         1         
Vardas169           Pavarde169          1         4         1         1         9         0         1         0         2         3         5         10        5         6         1         8         
Vardas170           Pavarde170          3         10        2         10        7         4         1         8         9         0         1         4         5         10        1         5         
Vardas171           Pavarde171          6         10        6         4         9         9         3         6         9         5         9         2         10        7         0         1         
Vardas172           Pavarde172          1         6         0         9         7         5         0         6         6         2         5         2         10        2         2         7         
Vardas173           Pavarde173          4         10        8         2         5         9         9         6         1         5         3         5         8         9         8         6         
Vardas174           Pavarde174          4         2         3         0         8         0         6         10        2         8         8         7         8         1         6         7         
Vardas175           Pavarde175          10        0         8         8         4         8         8         7         1         10        5         8         8         0         7         2         
Vardas176           Pavarde176          2         3         10        5         0         3         10        6         3         4         9         3         3         10        1         1         
Vardas177           Pavarde177          6         8         4         10        5         10        7         7         3         5         10        6         5         5         5         9         
Vardas178           Pavarde178          1         7         4         9         6         4         2         1         7         4         9         2         10        5         9         9         
Vardas179           Pavarde179          3         5         5         0         0         10        8         2         1         4         6         10        7         7         7         0         
Vardas180           Pavarde180          4         7         4         3         1         8         8         0         7         5         8         6         9         10        6         0         
Vardas181           Pavarde181          10        10        1         3         6         2         1         4         6         9         1         4         0         9         4         7         
Vardas182           Pavarde182          2         8         6         6         8         4         0         1         5         10        4         0         0         8         4         4         
Vardas183           Pavarde183          7         4         9         5         5         2         8         3         4         4         3         3         6         2         2         4         
Vardas184           Pavarde184          4         2         7         7         2         8         7         9         3         5         9         2         3         0         2         4         
Vardas185           Pavarde185          5         1         8         7         0         6         9         8         5         4         4         7         2         0         4         5         
Vardas186           Pavarde186          3         5         9         9         7         7         6         2         1         2         7         2         6         1         3         3         
Vardas187           Pavarde187          4         4         3         4         3         10        5         6         2         3         0         5         10        5         4         2         
Vardas188           Pavarde188          10        0         8         8         5         10        6         8         9         10        3         6         5         10        3         2         
Vardas189           Pavarde189          2         6         0         5         7         8         0         0         1         6         0         4         7         10        10        2         
Vardas190           Pavarde190          2         1         8         5         1         8         7         5         6         10        1         6         2         7         3         3         
Vardas191           Pavarde191          7         6         8         5         2         1         10        9         10        3         4         7         6         2         6         3         
Vardas192           Pavarde192          7         5         6         1         0         0         9         6         5         9         5         4         0         10        1         5         
Vardas193           Pavarde193          4         1         4         8         6         3         0         0         0         6         1         1         1         5         5         7         
Vardas194           Pavarde194          8         3         2         9         1         3         2         4         0         10        10        9         0         2         1         4         
Vardas195           Pavarde195          6         2         2         6         3         3         4         7         6         3         7         10        5         9         10        7         
Vardas196           Pavarde196          10        4         1         2         7         1         4         5         3         3         5         0         5         2         7         0         
Vardas197           Pavarde197          10        10        10        2         9         6         3         5         5         2         10        4         5         6         4         0         
Vardas198           Pavarde198          3         10        2         5         2         0         4         3         7         10        6         4         4         3         4         8         
Vardas199           Pavarde199          4         6         8         6         7         8         10        1         7         6         9         5         6         4         6         4         
Vardas200           Pavarde200          4         10        5         6         2         6         10        9         9         7         7         5         4         5         2         10        
Vardas201           Pavarde201          6         0         9         10        3         0         4         8         1         8         4         4         3         10        3         2         
Vardas202           Pavarde202          7         0         5         9         5         4         7         3         10        5         9         2         9         9         7         8         
Vardas203           Pavarde203          0         8         2         8         7         5         4         0         9         6         9         7         9         3         7         9         
Vardas204           Pavarde204          6         1         1         10        1         7         7         6         7         2         7         9         4         9         2         0         
Vardas205           Pavarde205          8         10        1         4         7         1         7         10        7         0         1         1         0         8         8         10        
Vardas206           Pavarde206          10        9         0         0         7         10        5         10        7         3         1         8         9         1         1         4         
Vardas207           Pavarde207          9         3         2         5         0         8         3         1         6         5         0         7         5         1         7         0         
Vardas208           Pavarde208          6         8         7         1         6         7         5         10        8         7         9         8         7         8         7         3         
Vardas209           Pavarde209          5         3         7         0         9         1         4         1         3         2         5         8         0         3         2         9         
Vardas210           Pavarde210          5         10        3         2         0         7         5         0         8         9         7         4         2         3         9         9         
Vardas211           Pavarde211          4         1         2         2         5         1         9         10        9         9         7         4         9         5         6         8         
Vardas212           Pavarde212          8         2         7         0         3         9         9         5         2         4         1         10        10        1         10        9         
Vardas213           Pavarde213          0         1         10        3         1         3         2         6         1         3         0         6         0         0         9         1         
Vardas214           Pavarde214          7         9         10        3         8         7         5         4         8         9         9         8         7         7         4         5         
Vardas215           Pavarde215          3         4         1         10        8         4         9         6         3         6         7         6         0         8         8         10        
Vardas216           Pavarde216          3         2         8         9         5         2         1         8         8         1         0         9         3         2         0         10        
Vardas217           Pavarde217          0         3         6         8         2         8         10        0         6         8         0         6         6         7         7         5         
Vardas218           Pavarde218          8         8         9         7         4         3         6         6         1         1         6         6         9         9         5         1         
Vardas219           Pavarde219          8         9         1         10        7         3         8         1         1         1         0         3         7         7         7         8         
Vardas220           Pavarde220          6         1         4         5         5         3         1         0         5         3         10        4         2         1         4         8         
Vardas221           Pavarde221          1         0         2         6         1         1         2         1         2         2         2         2         5         2         10        9         
Vardas222           Pavarde222          7         3         9         3         5         6         8         5         1         1         5         8         2         3         2         10        
Vardas223           Pavarde223          10        1         3         4         6         3         3         3         9         2         6         2         0         8         0         5         
